region,number
BARMM,390.48
CAR,112.6
CARAGA,500.0
NCR,2739.52
Region 1,113.3
Region 10,374.01
Region 11,189.71
Region 12,390.41
Region 2,83.33
Region 3,3484.73
Region 4-A,2426.91
Region 4-B,386.18
Region 5,94.22
Region 6,2778.36
Region 7,1366.43
Region 8,367.73
Region 9,116.92
